combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate,latencymean
1,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,48996666,1117318.47,823474.42,0.0015403421
1,for_0_a_1,128,xdpdrv,0.0.0.255,60,407520346,5555555.53,6849105.02,0.0007423791
4,for_0_a_1,128,xdpgeneric,0.0.0.255,60,184452666,2272727.3,3100048.96,-13.3920422122
4,for_0_a_1,512,xdpgeneric,0.0.0.255,60,140024706,1265822.78,2353365.73,-17.647621466
2,for_0_a_1,512,xdpdrv,0.0.0.255,60,140043033,2247191.09,2353667.5,0.0017403948
1,for_0_a_1,128,xdpgeneric,0.0.0.255,60,62514940,103199.17,1050672.51,-39.5256180504
1,for_0_a_1,64,xdpdrv,0.0.0.255,60,422258480,8888888.57,7096790.23,0.0007041073
2,for_0_a_1,64,xdpdrv,0.0.0.255,60,738864609,12155745.43,12417907.32,0.0007871633
4,for_0_a_1,64,xdpgeneric,0.0.0.255,60,184468089,2469135.84,3100312.27,-40.1835675308
1,for_0_a_1,1500,xdpdrv,0.0.0.255,60,48993596,1851851.94,823422.83,0.0034225145
2,for_0_a_1,256,xdpdrv,0.0.0.255,60,269956331,6100126.33,4537086.65,0.0003287869
2,for_0_a_1,512,xdpgeneric,0.0.0.255,60,98113744,3636363.76,1648972.59,-25.1818016722
1,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,60110870,598926.07,1010270.36,0.0045101161
4,for_0_a_1,256,xdpgeneric,0.0.0.255,60,184126086,763358.77,3094559.96,0.0054401759
8,for_0_a_1,256,xdpgeneric,0.0.0.255,60,269851463,4545454.46,4535324.97,0.0005063135
8,for_0_a_1,256,xdpdrv,0.0.0.255,60,269951073,813008.12,4536998.2,0.0009958897
2,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,71348477,1250269.43,1199135.53,0.0010191833
2,for_0_a_1,64,xdpgeneric,0.0.0.255,60,98890073,1204819.27,1662020.12,-74.9628448525
8,for_0_a_1,1024,xdpdrv,0.0.0.255,60,71356889,637082.6,1199278.85,0.0013488158
8,for_0_a_1,512,xdpgeneric,0.0.0.255,60,140043322,2047781.57,2353672.18,-17.6454054879
4,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,71356859,1250000.03,1199276.48,0.0007030255
8,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,71357087,1724137.92,1199280.32,0.0007433569
2,for_0_a_1,1024,xdpdrv,0.0.0.255,60,71355396,1258134.47,1199251.83,0.0015988074
8,for_0_a_1,128,xdpdrv,0.0.0.255,60,503351100,8085106.23,8459693.32,0.0006459842
8,for_0_a_1,1500,xdpdrv,0.0.0.255,60,49005452,387596.9,823622.08,0.0013321738
1,for_0_a_1,1024,xdpdrv,0.0.0.255,60,71354886,1145038.15,1199243.33,0.0018364925
8,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,49006619,763358.77,823646.58,0.0008107344
1,for_0_a_1,512,xdpdrv,0.0.0.255,60,140045652,2684563.78,2353711.43,0.0005204465
2,for_0_a_1,128,xdpdrv,0.0.0.255,60,503434592,10714285.92,8461096.94,0.0005748288
2,for_0_a_1,256,xdpgeneric,0.0.0.255,60,98555690,6097560.79,1656400.32,0.0050933983
1,for_0_a_1,256,xdpgeneric,0.0.0.255,60,62143719,653594.76,1044437.22,0.0040760566
1,for_0_a_1,256,xdpdrv,0.0.0.255,60,269949947,12499999.49,4536979.8,0.0008771846
8,for_0_a_1,512,xdpdrv,0.0.0.255,60,140043975,1886792.17,2353683.25,0.0010676416
2,for_0_a_1,128,xdpgeneric,0.0.0.255,60,98275022,1257861.63,1651687.52,-25.1406135168
4,for_0_a_1,128,xdpdrv,0.0.0.255,60,503428563,3571428.64,8460995.68,0.0005851104
2,for_0_a_1,1500,xdpdrv,0.0.0.255,60,49006678,552486.18,823642.71,0.0007725137
4,for_0_a_1,512,xdpdrv,0.0.0.255,60,140046273,5479451.97,2353721.73,0.000536786
4,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,49005825,1176470.6,823628.43,0.0010577613
8,for_0_a_1,128,xdpgeneric,0.0.0.255,60,309477295,4639175.25,5201316.18,-7.9786501907
