combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
4,for_0_a_100,512,xdpdrv,0.0.0.255,60,1,18,1,0,65,921.386,1.020.651,207.726,7.698,272.424,16.610,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_6400,512,xdpdrv,0.0.0.255,60,1,18,1,0,65,920.880,1.037.412,211.025,8.132,276.768,21.434,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_0,512,xdpdrv,0.0.0.255,60,0,96,1,0,63,1.034.915,1.002.566,203.966,7.531,267.420,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_400,64,xdpgeneric,0.0.0.255,60,1,23,1,0,64,956.310,1.015.876,206.848,7.851,271.334,18.949,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_3200,256,xdpdrv,0.0.0.255,60,1,17,1,0,64,914.098,1.021.535,208.432,8.100,272.664,27.496,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,512,xdpgeneric,0.0.0.255,60,1,28,1,0,65,994.527,1.040.747,212.089,7.786,277.962,20.203,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_0,1500,xdpdrv,0.0.0.255,60,1,19,1,0,62,929.000,1.001.464,203.659,7.759,267.280,20.318,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_800,128,xdpdrv,0.0.0.255,60,1,18,1,0,65,921.010,1.027.567,208.968,8.108,274.402,22.124,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_100,1024,xdpdrv,0.0.0.255,60,1,18,1,0,65,920.502,1.029.116,209.605,7.628,275.038,26.427,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,1,24,1,0,65,980.973,1.023.955,208.448,7.203,273.450,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_400,512,xdpgeneric,0.0.0.255,60,1,19,1,0,63,1.029.453,1.015.391,206.053,8.095,270.993,19.492,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
