combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate
8,for_0_a_800,256,xdpdrv,0.0.0.255,60,174596141,380228.15,2934399.5
2,for_0_a_800,64,xdpgeneric,0.0.0.255,60,31151138,371747.22,523549.14
1,for_0_a_800,256,xdpgeneric,0.0.0.255,60,20517815,277777.77,344837.63
8,for_0_a_800,128,xdpdrv,0.0.0.255,60,174570202,3510895.8,2933956.92
1,for_0_a_800,128,xdpgeneric,0.0.0.255,60,20649755,393700.79,347055.12
4,for_0_a_800,512,xdpgeneric,0.0.0.255,60,68085923,1127819.52,1144302.6
2,for_0_a_800,256,xdpgeneric,0.0.0.255,60,31144308,390625.0,523434.36
8,for_0_a_800,128,xdpgeneric,0.0.0.255,60,133762872,389105.04,2248118.28
4,for_0_a_800,512,xdpdrv,0.0.0.255,60,99067272,1923077.08,1665000.97
8,for_0_a_800,64,xdpgeneric,0.0.0.255,60,134123098,4225352.14,2254172.58
2,for_0_a_800,1024,xdpdrv,0.0.0.255,60,43730574,1428571.69,734968.5
1,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,20129345,84889.64,338309.35
2,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,30457658,279329.62,511893.98
8,for_0_a_800,512,xdpgeneric,0.0.0.255,60,131535449,2816901.43,2210682.41
1,for_0_a_800,256,xdpdrv,0.0.0.255,60,28569728,0.0,480163.87
2,for_0_a_800,128,xdpgeneric,0.0.0.255,60,31033910,636942.68,521580.4
4,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,48991146,766283.55,823381.57
2,for_0_a_800,64,xdpdrv,0.0.0.255,60,43808133,33658.7,736271.39
4,for_0_a_800,1500,xdpdrv,0.0.0.255,60,49000899,632911.35,823545.46
4,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,67430718,1265822.87,1133290.64
1,for_0_a_800,1024,xdpdrv,0.0.0.255,60,28546468,1851851.68,479773.13
1,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,20207982,271002.72,339630.39
4,for_0_a_800,256,xdpgeneric,0.0.0.255,60,69150356,636942.68,1162192.33
8,for_0_a_800,1024,xdpdrv,0.0.0.255,60,71352841,1079136.72,1199208.86
2,for_0_a_12800,256,xdpdrv,0.0.0.255,60,0,0.0,0.0
4,for_0_a_12800,1024,xdpdrv,0.0.0.255,60,6580224,0.0,110592.0
4,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,7294785,132978.72,122601.57
8,for_0_a_12800,512,xdpdrv,0.0.0.255,60,13145665,0.0,220935.5
1,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,0,0.0,0.0
2,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,0,0.0,0.0
1,for_0_a_12800,256,xdpdrv,0.0.0.255,60,0,0.0,0.0
2,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,0,0.0,0.0
8,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,11090539,287356.32,186396.31
1,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,0,0.0,0.0
1,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,0,0.0,0.0
2,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,2804953,29429.08,47142.27
1,for_0_a_12800,1024,xdpdrv,0.0.0.255,60,0,0.0,0.0
8,for_0_a_12800,1024,xdpdrv,0.0.0.255,60,13143424,0.0,220897.78
8,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,11107352,128375.39,186678.41
2,for_0_a_12800,1500,xdpdrv,0.0.0.255,60,0,0.0,0.0
8,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,11138862,149253.74,187207.98
2,for_0_a_12800,1024,xdpdrv,0.0.0.255,60,0,0.0,0.0
1,for_0_a_12800,512,xdpdrv,0.0.0.255,60,0,0.0,0.0
8,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,11149709,48030.74,187390.27
4,for_0_a_12800,1500,xdpdrv,0.0.0.255,60,6580864,0.0,110602.76
4,for_0_a_12800,256,xdpdrv,0.0.0.255,60,6582016,0.0,110622.09
4,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,7282313,59347.18,122391.94
1,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,0,0.0,0.0
8,for_0_a_12800,1500,xdpdrv,0.0.0.255,60,13138752,0.0,220819.3
1,for_0_a_12800,64,xdpdrv,0.0.0.255,60,0,0.0,0.0
2,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,0,0.0,0.0
4,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,7312413,53305.88,122897.81
2,for_0_a_12800,512,xdpdrv,0.0.0.255,60,0,0.0,0.0
2,for_0_a_12800,64,xdpdrv,0.0.0.255,60,0,0.0,0.0
8,for_0_a_12800,256,xdpdrv,0.0.0.255,60,13145281,10123.51,220929.6
1,for_0_a_12800,1500,xdpdrv,0.0.0.255,60,0,0.0,0.0
8,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,11148345,85034.01,187367.34
4,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,7291687,59347.18,122549.48
8,for_0_a_12800,128,xdpdrv,0.0.0.255,60,13147329,0.0,220963.68
8,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,11124942,148809.53,186974.04
1,for_0_a_12800,128,xdpdrv,0.0.0.255,60,0,0.0,0.0
8,for_0_a_12800,64,xdpdrv,0.0.0.255,60,13147395,0.0,220964.9
4,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,7301448,92081.03,122713.55
1,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,0,0.0,0.0
2,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,0,0.0,0.0
4,for_0_a_12800,512,xdpdrv,0.0.0.255,60,6583041,0.0,110639.41
2,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,0,0.0,0.0
2,for_0_a_12800,128,xdpdrv,0.0.0.255,60,0,0.0,0.0
4,for_0_a_12800,64,xdpdrv,0.0.0.255,60,6583171,0.0,110641.83
4,for_0_a_12800,128,xdpdrv,0.0.0.255,60,6582209,0.0,110625.8
1,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,0,0.0,0.0
4,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,7313235,151057.4,122911.65
4,for_0_a_100,128,xdpdrv,0.0.0.255,60,503232565,5333333.14,8457700.77
4,for_0_a_100,1024,xdpdrv,0.0.0.255,60,71357541,1249999.9,1199292.54
1,for_0_a_100,64,xdpgeneric,0.0.0.255,60,50738374,370039.55,852746.68
2,for_0_a_100,512,xdpdrv,0.0.0.255,60,140028276,1242236.0,2353419.19
2,for_0_a_100,256,xdpgeneric,0.0.0.255,60,72757217,149700.6,1222811.78
4,for_0_a_100,128,xdpgeneric,0.0.0.255,60,134747791,2259887.1,2264671.48
4,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,49006121,653594.79,823633.29
