combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
4,for_0_a_100,1024,xdpdrv,0.0.0.255,60,1,0,64,1.391.242,1.859.408,365.450,8.571,548.330,34.224,0,0,0,0,0,0,0
4,for_0_a_400,256,xdpdrv,0.0.0.255,60,1,0,63,936.798,1.011.724,206.079,7.588,270.133,19.027,0,0,0,0,0,0,0
4,for_0_a_0,256,xdpgeneric,0.0.0.255,60,1,0,62,1.015.604,1.003.370,204.404,7.746,267.531,15.298,0,0,0,0,0,0,0
4,for_0_a_12800,64,xdpdrv,0.0.0.255,60,1,0,64,970.958,1.033.974,209.768,8.006,275.801,0,0,0,0,0,0,0,0
4,for_0_a_200,1024,xdpdrv,0.0.0.255,60,1,0,64,970.530,1.030.112,209.522,7.614,275.200,10.503,0,0,0,0,0,0,0
8,for_0_a_1,1500,xdpdrv,0.0.0.255,60,1,0,63,1.061.413,1.016.867,206.545,8.269,271.230,0,0,0,0,0,0,0,0
8,for_0_a_1,128,xdpdrv,0.0.0.255,60,1,0,65,1.364.676,1.543.343,300.035,8.307,439.391,0,0,0,0,0,0,0,0
1,for_0_a_400,1500,xdpdrv,0.0.0.255,60,1,0,65,970.024,1.038.121,210.542,8.000,276.753,18.075,0,0,0,0,0,0,0
4,for_0_a_1600,1500,xdpdrv,0.0.0.255,60,1,0,63,962.396,1.016.648,206.612,8.016,270.893,20.328,0,0,0,0,0,0,0
8,for_0_a_1,64,xdpgeneric,0.0.0.255,60,1,0,63,2.088.976,1.010.773,205.978,7.985,269.498,0,0,0,0,0,0,0,0
2,for_0_a_400,64,xdpdrv,0.0.0.255,60,1,0,64,966.110,1.015.229,206.805,7.950,270.922,19.658,0,0,0,0,0,0,0
8,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,1,0,63,1.708.995,1.006.131,204.774,8.087,269.023,0,0,0,0,0,0,0,0
4,for_0_a_400,1500,xdpdrv,0.0.0.255,60,1,0,63,941.400,1.008.166,205.406,7.764,269.189,18.733,0,0,0,0,0,0,0
4,for_0_a_3200,128,xdpdrv,0.0.0.255,60,1,0,64,1.128.758,1.017.905,207.686,8.107,271.439,0,0,0,0,0,0,0,0
8,for_0_a_0,256,xdpgeneric,0.0.0.255,60,1,0,64,2.224.359,1.028.594,208.714,7.670,274.287,0,0,0,0,0,0,0,0
1,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,1,0,63,981.358,1.019.437,207.589,7.991,271.776,0,0,0,0,0,0,0,0
2,for_0_a_200,128,xdpgeneric,0.0.0.255,60,1,0,64,993.618,1.046.105,212.080,7.813,278.444,0,0,0,0,0,0,0,0
4,for_0_a_1600,128,xdpdrv,0.0.0.255,60,1,0,64,944.133,1.004.266,204.361,7.877,267.962,17.944,0,0,0,0,0,0,0
