combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
8,for_0_a_200,512,xdpgeneric,0.0.0.255,60,0,73,1,0,64,1792014,1012802,205877,8236,270819,0,0,0,0,0,0,0
8,for_0_a_1600,128,xdpgeneric,0.0.0.255,60,0,74,1,0,64,1833695,1036320,211085,7716,276702,0,0,0,0,0,0,0
2,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,1,33,1,0,64,1052263,1027888,209271,8193,274514,16120,0,0,0,0,0,0
8,for_0_a_100,256,xdpgeneric,0.0.0.255,60,0,74,1,0,63,1832537,1015835,207229,7911,271081,0,0,0,0,0,0,0
4,for_0_a_0,256,xdpgeneric,0.0.0.255,60,1,35,1,0,64,1064711,1024816,208217,7903,273371,16304,0,0,0,0,0,0
8,for_0_a_1,64,xdpgeneric,0.0.0.255,60,0,72,1,0,64,1782919,1036659,211263,8169,277315,0,0,0,0,0,0,0
8,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,0,79,1,0,64,1611258,1019617,207273,8320,271902,19261,0,0,0,0,0,0
8,for_0_a_0,256,xdpgeneric,0.0.0.255,60,0,75,1,0,64,1855446,1034139,210165,8315,276486,0,0,0,0,0,0,0
1,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,1,27,1,0,65,1006272,1028716,209022,7941,274555,15141,0,0,0,0,0,0
2,for_0_a_200,128,xdpgeneric,0.0.0.255,60,1,27,1,0,63,1003097,997172,203382,7771,266036,15120,0,0,0,0,0,0
4,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1,7,1,0,64,1256424,1128754,227629,7594,304174,18837,0,0,0,0,0,0
4,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,1,30,1,0,63,1027514,1024066,208077,7911,273165,15551,0,0,0,0,0,0
8,for_0_a_200,256,xdpgeneric,0.0.0.255,60,0,74,1,0,64,1817198,1034255,210734,7931,276126,0,0,0,0,0,0,0
8,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,0,75,1,0,64,1852758,1027522,209123,7509,274556,0,0,0,0,0,0,0
8,for_0_a_100,512,xdpgeneric,0.0.0.255,60,1,64,1,0,65,3213806,2716712,498077,9427,789950,73277,0,0,0,0,0,0
4,for_0_a_0,128,xdpgeneric,0.0.0.255,60,1,23,1,0,65,1098627,1039564,211810,7768,277790,14815,0,0,0,0,0,0
1,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,1,21,1,0,63,977349,997981,202937,7856,266205,0,0,0,0,0,0,0
8,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,0,73,1,0,63,1805319,1039563,211319,8336,277457,0,0,0,0,0,0,0
2,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,1,30,1,0,64,1032667,1026556,209030,7832,274314,15033,0,0,0,0,0,0
8,for_0_a_100,1024,xdpgeneric,0.0.0.255,60,1,22,1,0,64,2001663,1704270,325613,8659,480610,44469,0,0,0,0,0,0
2,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,1,27,1,0,63,1004355,1003744,203886,7666,267843,15100,0,0,0,0,0,0
1,for_0_a_800,256,xdpgeneric,0.0.0.255,60,1,26,1,0,65,998514,1054542,213493,7663,280573,16375,0,0,0,0,0,0
4,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,0,87,1,0,64,1182977,1020234,208037,7709,272159,0,0,0,0,0,0,0
8,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,0,73,1,0,62,1792011,997864,202941,7698,266519,0,0,0,0,0,0,0
2,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,1,13,1,0,65,890221,1021358,208207,7674,272510,0,0,0,0,0,0,0
4,for_0_a_1600,128,xdpgeneric,0.0.0.255,60,1,23,1,0,64,964861,1029252,208522,7309,273308,18019,0,0,0,0,0,0
