combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate,latencymean
8,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,9110984,12573.87,153125.82,0.0
2,for_0_a_800,512,xdpgeneric,0.0.0.255,60,12914802,645161.3,217055.76,0.02
4,for_0_a_800,128,xdpgeneric,0.0.0.255,60,13237705,0.0,222482.6,-186.66
2,for_0_a_800,64,xdpgeneric,0.0.0.255,60,13779918,0.0,231595.49,-179.32
1,for_0_a_800,256,xdpgeneric,0.0.0.255,60,13891654,0.0,233473.29,0.02
1,for_0_a_800,128,xdpgeneric,0.0.0.255,60,13912420,0.0,233822.23,0.02
4,for_0_a_800,512,xdpgeneric,0.0.0.255,60,13096086,0.0,220102.94,-188.68
2,for_0_a_800,256,xdpgeneric,0.0.0.255,60,13561823,0.0,227929.8,0.02
8,for_0_a_800,128,xdpgeneric,0.0.0.255,60,9995062,0.0,167984.78,0.02
8,for_0_a_800,64,xdpgeneric,0.0.0.255,60,10110379,0.0,169922.54,-488.83
1,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,13470267,645161.25,226391.51,0.01
2,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,14083529,0.0,236698.5,0.01
8,for_0_a_800,512,xdpgeneric,0.0.0.255,60,15859364,628930.81,266544.29,0.0
2,for_0_a_800,128,xdpgeneric,0.0.0.255,60,13668127,0.0,229716.47,0.02
4,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,12186968,24987.51,204823.15,0.0
4,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,17666105,48076.92,296909.69,0.0
1,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,13408019,1258134.47,225345.12,0.02
4,for_0_a_800,256,xdpgeneric,0.0.0.255,60,12833468,0.0,215688.5,0.02
4,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,1129517,0.0,18983.49,-2187.77
1,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,1131040,0.0,19009.1,0.15
2,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
2,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
8,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,945376,0.0,15888.67,0.18
1,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,1130048,0.0,18992.4,0.15
1,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,1132800,0.0,19038.72,-2181.34
2,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,1129313,0.0,18980.06,-4376.51
8,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,985245,0.0,16558.76,0.18
8,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,826002,0.0,13882.39,0.21
8,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,849732,0.0,14281.23,-2908.04
4,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,1128473,0.0,18965.95,0.15
1,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1134177,0.0,19061.81,0.15
2,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
4,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,1123104,0.0,18875.69,-2200.29
8,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,805047,0.0,13530.24,0.21
4,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,1128685,0.0,18969.5,0.14
8,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,931216,31545.74,15650.71,-2653.54
4,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,1126445,0.0,18931.88,0.15
1,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,1134388,0.0,19065.34,-4356.75
2,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1129461,0.0,18982.54,0.15
2,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
1,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,1133312,0.0,19047.27,0.15
4,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1127601,53210.68,18951.28,0.15
1,for_0_a_100,64,xdpgeneric,0.0.0.255,60,52122417,1049077.53,876008.0,-142.23
2,for_0_a_100,256,xdpgeneric,0.0.0.255,60,43597629,1960784.29,732734.16,0.01
